	GSM1519923	GSM1519926	GSM1519927	GSM1519928	GSM1519929	GSM1519930	GSM1519933	GSM1519934	GSM1519935
RPA2	2.3202920280000003	5.365362325	1.7450924159999999	1.49356203	1.30875926	3.398135745	1.816781735	1.988825078	1.891554815
RPA3	2.8733632160000004	5.336512416000001	1.8658454580000001	4.846904747	2.384189079	4.205124004	4.563553557	2.521589444	3.1646928180000002
RPA4	1.524289791	2.467262037	2.205158387	1.5760348880000001	1.504757704	1.671711324	1.9827174490000001	1.87039574	1.994259525
RPAIN	6.5755622505	6.408750946	6.9096910965000005	5.333020992	5.433349811	6.419722888499999	7.4338831535	6.966597365999999	6.8224528785
RPAP1	4.75923768	7.39971978	5.650018285	5.039783394	4.07058387	5.10685824	6.6414856470000005	6.358406921	5.78536396
RPAP2	8.250214004	1.385701354	7.848256492999999	7.960322115	9.637585584	8.853478534	7.631020102000001	7.749233041	8.408448902
RPAP3	3.6566676200000003	3.791407244111111	3.861825011777777	4.287378387222223	3.941612274777777	3.0745926624444446	4.089577576666667	3.8177648470000003	3.0958964592222227
RPE	4.3299765225	5.281018699	5.841510393	3.4752615995000005	5.517319649	5.7459071445	5.4530492565	3.4634576525	5.273572564
RPE65	1.675495788	3.45594317	2.90663843	2.035001474	4.911644477	2.104944046	2.735981967	4.668046928	4.255917205
RPGR	4.8863754539999995	7.109373805	6.803715222999999	6.532611086	5.368086672	6.929515814	6.4313279020000005	5.840874607999999	5.149089914
RPGRIP1	10.25468282	9.14579087	8.622288257000001	9.484231902000001	9.314145922	8.643650083999999	8.709735632000001	10.079793800000001	10.24322913
RPGRIP1L	4.315679524	5.196681332500001	4.9542211565	4.138463091499999	3.746846363	4.5412796365000005	5.2724846255	3.7327752500000004	4.336478303
RPH3A	2.763925333	4.6796310210000005	4.05886629	3.410822202	3.801882258	2.977151299	3.8765806019999998	4.26065484	3.42341281
RPH3AL	1.405996501	3.1868160519999997	1.9181891690000001	1.631513154	4.423288703	1.4457289780000002	1.9194752869999998	1.617912715	4.685905623
RPIA	1.532296373	1.4446093309999999	4.22144799	5.67851356	5.221107316	2.7048783210000003	4.273286457	5.734462859	4.39401059
RPL10	5.353343615166668	5.1808861245	5.395989827833333	4.833240795666666	5.3182140625	5.382465915000001	4.972028359666667	5.184916592333334	5.660549337666667
RPL10A	3.514169597	2.9221954524999996	3.712081276	1.9635582145	1.587722469	3.2325319255	2.4522339119999996	2.894964	2.813531192
RPL10L	4.13863833	6.31584196	5.118854493	4.515875361	4.829749802	4.592513383	4.678886396	5.205736621000001	4.669050234
RPL11	5.165656963	1.444285625	6.457194604	5.7958059529999995	5.1219254460000005	9.812714657999999	4.681844171	4.214207484	7.859412419
RPL12	5.9833108434	3.9618261845999996	3.8085868065999997	4.9161577662	5.0296611557999995	4.379588579800001	2.9717780462	2.3831446274	4.199680594599998
