Gene_Symbol	GSM1187673	GSM1187674	GSM1187675	GSM1187676	GSM1187677	GSM1187678
DBH	7.92064	7.9515199999999995	8.10985	7.78529	7.865710000000001	7.54056
DBI	9.29298	9.203560000000001	9.30986	9.006260000000001	9.15595	9.02936
DBIL5P	7.165019999999999	7.083469999999999	7.161910000000001	6.99794	6.989839999999999	6.818989999999999
DBIL5P2	5.68271	6.108569999999999	6.16934	5.73157	5.74681	5.59
DBN1	11.1697	11.0701	11.1066	11.3177	11.1727	11.549000000000001
DBNDD1	8.63623	8.74036	8.64658	8.57292	8.50278	8.65146
DBNL	10.6473	10.6517	10.5161	10.2058	10.5407	10.7334
DBP	9.67366	9.911810000000001	9.8341	10.2511	9.78764	9.63055
DBR1	7.31998	7.21081	7.279389999999999	7.2516	7.3072	7.19107
DBT	8.56365	8.52109	8.58805	9.20101	8.88513	8.68815
DBX1	6.931610000000001	6.820139999999999	6.90304	7.01122	6.94747	6.982260000000001
DBX2	4.8547199999999995	5.18421	5.05995	4.98129	4.88815	4.82164
DCAF1	9.39005	9.4759	9.55995	9.455210000000001	9.5233	9.68222
DCAF4	8.834610000000001	8.61406	8.775260000000001	8.8912	8.92262	9.235510000000001
DCAF4L1	6.15888	5.85608	5.8505199999999995	5.86975	5.68759	5.92012
DCAF4L2	6.70609	6.435219999999999	6.37169	6.19663	6.40578	6.54362
DCAF5	11.4031	11.4211	11.356	11.4034	11.4907	11.4494
DCAF6	11.0238	11.09	11.1469	11.1934	10.9707	11.0302
DCAF7	10.7369	10.7428	10.7665	10.7008	10.7646	10.7532
DCAF8	8.324	8.40697	8.3842	8.41225	8.40548	8.423110000000001
DCAF8L1	5.84926	5.7443	5.77519	5.58325	5.77188	5.7087699999999995
DCAF10	9.90291	10.0091	9.9261	9.9642	9.901019999999999	9.93045
DCAF11	9.36462	9.18564	9.4789	9.65518	9.30429	9.364310000000001
DCAF12	9.94968	9.988760000000001	9.91845	9.96637	9.90957	10.091000000000001
DCAF12L1	6.83137	6.962969999999999	6.768439999999999	6.6687	6.743060000000001	6.84435
DCAF12L2	7.601189999999999	7.64645	7.43428	7.52244	7.71374	7.65615
DCAF13	9.06433	9.12915	9.18556	8.73977	9.189119999999999	8.963410000000001
DCAF15	9.02697	8.995330000000001	8.955860000000001	8.9266	9.02182	9.301689999999999
DCAF16	9.4943	9.21022	9.702210000000001	9.46452	9.45776	9.47355
DCAF17	8.77723	8.651539999999999	8.796610000000001	9.08427	8.77208	8.88589
DCAKD	11.3145	11.335999999999999	11.3963	11.5602	11.5901	11.5574
DCBLD1	10.4555	10.4544	10.1099	8.751619999999999	10.5159	10.6234
DCBLD2	12.4022	12.1491	12.0049	11.7871	12.4864	12.3942
DCC	5.97484	5.99665	6.185630000000001	6.11307	6.16651	5.93708
DCD	6.4464	6.708469999999999	6.50099	6.6449300000000004	6.47144	6.40174
